Nom,Viet
吝吝𣈗𫗄𣈘𦝄,Lần lần ngày gió đêm trăng
疎紅葚綠㐌澄春戈,Thưa hồng rậm lục đã chừng xuân qua
皮𣈗生日外家,Vừa ngày sinh nhật ngoại gia
𨕭双堂𤲂女𱺵𠄩㛪,Trên song đường dưới nữa là hai em
熷𤇊攕𢯢襖袩,Tưng bừng sắm sửa áo xiêm
芹𤼸𱥺礼賒󰝂𡬷誠,Cần dâng một lễ xa đem tấc thành
茹蘭清永𱥺命,Nhà lan thanh vắng một mình
𡄎机會遇㐌仃𣋚𠉞,Ngẫm cơ hội ngộ đã đành hôm nay
時珍式式産排,Thời trân thức thức sẵn bày
𨃴蓮脱脱𨄹𣦍𠃅墻,Gót sen thoăn thoắt dạo ngay mái tường
隔花仕𠱆㗂鐄,Cách hoa sẽ dặng tiếng vàng
𤲂花𧡊㐌固払𥪸懞,Dưới hoa thấy đã có chàng đứng mong
責𢚸哬𠾿貝𢚸,"""Trách lòng hờ hững với lòng"
焒香祝底冷𣼰閉𥹰,Lửa hương chốc để lạnh lùng bấy lâu
仍𱺵塔𢖵𢬭愁,Những là đắp nhớ đổi sầu
雪霜染姅𠃅頭花淫,Tuyết sương nhuốm nửa mái đầu hoa râm
娘浪𫗄扒湄扲,"Nàng rằng: ""Gió bắt mưa cầm"
㐌甘弊貝知音闭迡,Đã cam tệ với tri âm bấy chầy
永茹特𣇜𣋚𫢩,Vắng nhà được buổi hôm nay
𥙩𢚸噲𡭧𫥨低謝𢚸,"Lấy lòng gọi chút ra đây tạ lòng""."
吝蹺𡶀假𠫾𥿺,Lần theo núi giả đi vòng
𡳜墻𱻌固𡑩通買樔,Cuối tường dường có nẻo thông mới rào
趂𢬣𨷑錁洞桃,Sấn tay mở khoá động đào
𥘶𩄲𬂙𤑟𫮇𠓨天台,Rẽ mây trông rõ lối vào Thiên thai
強𥆾𩈘強添鮮,Càng nhìn mặt càng thêm tươi
边𠳒萬福边𠳒寒暄,Bên lời vạn phúc bên lời hàn huyên
聘𦠘𧗱准書軒,Sánh vai về chốn thư hiên
󱊫𠳒風月𥘀願𡽫滝,Góp lời phong nguyệt nặng nguyền non sông
𨕭㯊筆架詩筒,Trên yên bút giá thi đồng
淡清𱥺幅𢂰松撩𨖲,Đạm thanh một bức tranh tùng treo lên
風霜特𨤔天然,Phong sương được vẻ thiên nhiên
𪉽𠸦󰞺筆強𥆾強鮮,Mặn khen nét bút càng nhìn càng tươi
生浪樸𪽗皮耒,"Sinh rằng: ""Phác hoạ vừa rồi"
品題吀𱥺𠄽𠳒添花,"Phẩm đề xin một vài lời thêm hoa""."
𢬣仙𫗄匝湄沙,Tay tiên gió táp mưa sa
曠𨕭仃筆草𢽼𦊚勾,Khoảng trên dừng bút thảo và bốn câu
𠸦才𠾒玉噴珠,Khen tài nhả ngọc phun châu
娘班妸謝拱兜世丕,“Nàng Ban ả Tạ cũng đâu có vầy
刧修𠸗啻渚𠫆,Kiếp tu xưa ví chưa dầy
福芇𢩮特價尼朱昂,Phúc nào nhắc được giá này cho ngang”.
娘浪濫𥉬容光,"Nàng rằng: ""Trộm liếc dung quang"
拯𡑝玉佩拱坊金门,Chẳng sân ngọc bội cũng phường kim môn
𢪀命分𤘁𦑃𧋃,Nghĩ mình phận mỏng cánh chuồn
囷撑別固𣃱𧷺麻𫨩,Khuôn xanh biết có vuông tròn mà hay
𢖵自𫷜唉踈𬏝,Nhớ từ năm hãy thơ ngây
據𥪞相法𡗋柴吱𠾦,CỨ trong tướng pháp lắm thầy chê bai
英花𤼵洩𫥨外,Anh hoa phát tiết ra ngoài
𠦳秋薄命𱥺𠁀才花,Nghìn thu bạc mệnh một đời tài hoa
𬂙𠊛吏𥋴𠓨些,Trông người lại ngắm vào ta
𱥺𠫅𱥺𤘁別𱺵固𢧚,"Một dầy một mỏng biết là có nên""."
生浪邂逅𱺵緣,"Sinh rằng: ""Giải cấu là duyên"
𠸗𫢩人定勝天拱𡗉,Xưa nay nhân định thắng thiên cũng nhiều
啻油解結旦條,Ví dù giải kết đến điều
時󰝂鐄跢麻料朱身,Thì đem vàng đá mà liều cho thân”.
𲄋條衷曲殷勤,Đủ điều trung khúc ân cần
𢚸春派派𡃹春藏藏,Lòng xuân phơi phới chén xuân tàng tàng
𣈗𢝙𥐆拯𣹓𡬼,Ngày vui vắn chẳng đầy gang
𬂙𫥨鵶㐌唅𦎛𡽫兑,Trông ra ác đã ngậm gương non đoài
永茄拯便𡓮佳,Vắng nhà chẳng tiện ngồi dai
吔払娘買急移窻紗,Giã chàng nàng mới kíp dời song sa
旦茄皮𧡊信茄,Đến nhà vừa thấy tin nhà
𠄩親羣𱠎席花渚𧗱,Hai thân còn dở tiệc hoa chưa về
𲈾外倍𢷀𢆁𦂛,Cửa ngoài vội rủ rèm the
侵侵𨀰𡑩園𣅘𱥺命,Xăm xăm băng nẻo vườn khuya một mình
日踈𦎛燴頭梗,Nhặt thưa gương giọi đầu cành
𦰟畑𬂙律帳屏𫤾休,Ngọn đèn trông lọt trướng bình hắt hiu
生群𢭸案燒燒,Sinh còn tựa án thiu thiu
𱠎朝如醒𱠎朝如迷,Dở chiều như tỉnh dở chiều như mê
㗂蓮仕動聀槐,Tiếng sen sẽ động giấc hòe
𩃳𦝄㐌熾花梨吏𧵆,Bóng trăng đã xế hoa lê lại gần
冰傾頂𰎟𡽫神,Bâng khuâng đỉnh Giáp non Thần
群󰣤聀夢𣈘春𢠩忙,Còn ngờ giấc mộng đêm xuân mơ màng
娘浪曠永𣈘長,"Nàng rằng: ""Khoảng vắng đêm trường"
爲花𢧚沛打塘尋花,Vì hoa nên phải đánh đường tìm hoa
悲𣇞𤑟𩈘堆些,Bây giờ rõ mặt đôi ta
別兜耒女拯𱺵占包,"Biết đâu rồi nữa chẳng là chiêm bao""."
倍𢜠爫礼逴𠓨,Vội mừng làm lễ rước vào
臺蓮𨁡蠟窻桃添香,Đài sen nối sáp song đào thêm hương
箋誓共草𱥺章,Tiên thề cùng thảo một chương
𩯀𩄲𱥺𱹵刀鐄𢺹堆,Tóc mây một món dao vàng chia đôi
彙𦝄域域𡧲𡗶,Vầng trăng vằng vặc giữa trời
丁寧𠄩𩈘𱥺𠳒双双,Đinh ninh hai mặt một lời song song
𩯀絲根紊𡬷𢚸,Tóc tơ căn vặn tấc lòng
𤾓𫷜鑿𱥺𡨸同旦𩩫,Trăm năm tạc một chữ đồng đến xương
𡃹霞聘喠瓊漿,Chén hà sánh giọng quỳnh tương
󰣥𬗢香論屏𦎛𩃳篭,Dải là hương lộn bình gương bóng lồng
生浪𫗄沫𦝄𤄯,"Sinh rằng: ""Gió mát trăng trong"
閉𥹰𫢩𱥺𡭧𢚸渚甘,Bấy lâu nay một chút lòng chưa cam
𣖖霜渚搌梂藍,Chày sương chưa nện cầu Lam
𢜝吝巾過𫥨𲁰所庒,"Sợ lần khân quá ra sờm sỡ chăng""."
娘浪紅葉赤绳,Nàng rằng: “Hồng diệp xích thằng
𱥺𠳒拱㐌㗂浪相知,Một lời cũng đã tiếng rằng tương tri
吀條月怒花箕,Xin điều nguyệt nọ hoa kia
外𫥨埃吏惜咦貝埃,"Ngoài ra ai lại tiếc gì với ai""."
浪𦖑浽㗂琴臺,Rằng: “Nghe nổi tiếng Cầm Đài
渃𡽫𨻫仍𦗏𦖻鍾期,Nước non luống những lắng tai Chung Kỳ
𠽔浪賤技詫之,"Thưa rằng: ""Tiện kỹ sá chi"
㐌𢚸𠰺旦𠰺時沛𠳐,"Đã lòng dạy đến, dạy thì phải vâng""."
軒𡢐撩産琴𦝄,Hiên sau treo sẵn cầm trăng
倍傍生㐌𢬣𢪲昂眉,Vội vàng sinh đã tay nâng ngang mày
娘浪藝闷𥢅西,Nàng rằng nghề mọn riêng tây
爫之朱𥘀𢚸尼𡗋申,Làm chi cho nặng lòng này lắm thân
攄寅𦀊武𦀊文,Lựa dần dây vũ dây văn
𦊚𦀊蘇𡮈蹺韻宮商,"Bốn dây to nhỏ theo vần cung, thương"
曲兜漢楚戰場,Khúc đâu Hán Sở chiến trường
𦖑𫥨㗂鉄㗂鐄扦𠑬,Nghe ra tiếng sắt tiếng vàng chen nhau
曲兜司馬鳳求,Khúc đâu Tư Mã Phượng Cầu
𦖑𦋦如怨如愁沛庄,Nghe ra như oán như sầu phải chăng
稽康尼曲廣陵,Kê Khang này khúc Quảng Lăng
𱥺浪華嶽𱥺浪歸雲,Một rằng hoa nhạc một rằng quy vân
過𬮦尼曲昭君,Quá quan này khúc Chiêu Quân
姅份恋主姅分思家,Nửa phần luyến chúa nửa phần tư gia
𤄯如㗂鶴𢒎戈,Trong như tiếng hạc bay qua
濁如渃𱧎買沙姅撝,Đục như nước suối mới sa nửa vời
㗂寬如𫗄倘外,Tiếng khoan như gió thoảng ngoài
㗂毛泣泣如𡗶睹湄,Tiếng mau rầm rập như trời đổ mưa
𦰟畑欺𤍄欺𢠩,Ngọn đèn khi tỏ khi mờ
遣𠊛𡓮妬拱魚謹愁,Khiến người ngồi đó cũng ngơ ngẩn sầu
欺𢭸襘欺儈頭,Khi tựa gối khi cúi đầu
欺紆𠃩曲欺𤶎堆𪵟,Khi vò chín khúc khi chau đôi mày
浪𫨩時寔𱺵𫨩,"Rằng: ""Hay thì thật là hay"
𦖑𫥨唅𡃻㖔𠹽世芇,Nghe ra ngậm đắng nuốt cay thế nào
攄之仍堛蕭騷,Lựa chi những bậc tiêu tao
𢝀𢚸命拱㝹㝹𢚸𠊛,"Dột lòng mình cũng nao nao lòng người""."
浪悁𠅎󰞺𠫾耒,Rằng: “Quen mất nết đi rồi
粃𢝙催拱性𡗶別牢,Tẻ vui thôi cũng tính trời biết sao
𠳒鐄𠳐領意高,Lời vàng vâng lĩnh ý cao
和寅寅扒𡭧芇特空,"Hoạ dần dần bớt chút nào được không""."
𦰟蘭強𤍄式紅,Ngọn lan càng tỏ thức hồng
頭眉𡳪眜強濃𬌓夭,Đầu mày đuôi mắt càng nồng tấm yêu
㳥情𱻌㐌漂漂,Sóng tình dường đã xiêu xiêu
䀡𥪞歐厭固朝𣳮淶,Xem trong âu yếm có chiều lả lơi
𠽔浪𣫲𥙩爫𨔈,"Thưa rằng: ""Đừng lấy làm chơi"
底朱𠽔歇𱥺𠳒㐌㝹,Để cho thưa hết một lời đã nao
𨤔咦𱥺朶夭桃,Vẻ gì một đoá yêu đào
園紅之監垠樔𪀄撑,Vườn hồng chi dám ngăn rào chim xanh
㐌朱𠓨堛布荆,Đã cho vào bậc bố kinh
道從夫𥙩𡨸貞爫頭,Đạo tòng phu lấy chữ trinh làm đầu
𫥨傱𨕭濮𥪞橷,Ra tuồng trên Bộc trong dâu
仍𡥵𠊛意埃求爫之,Những con người ấy ai cầu làm chi
沛條咹𱓘於時,Phải điều ăn xổi ở thì
節𤾓𫷜𡝖補𠫾𱥺𣈗,Tiết trăm năm nỡ bỏ đi một ngày
𡄎緣奇遇𠸗𫢩,Ngẫm duyên kỳ ngộ xưa nay
侶堆埃吏𬙾齊崔張,"Lứa đôi ai lại đẹp tày Thôi, Trương"
𩄲湄打覩跢鐄,Mây mưa đánh đổ đá vàng
過朝𠓀㐌𱟎𠴔燕鸚,Quá chiều trước đã chán chường yến anh
𥪞欺插𦑃連梗,Trong khi chắp cánh liền cành
麻𢚸𥜤𥙓㐌𠴔𱥺边,Mà lòng rẻ rúng đã dành một bên
𠃅西底冷香願,Mái Tây để lạnh hương nguyền
吹緣潭𧺀𫥨緣𢜢㥬,Xui duyên đằm thắm ra duyên bẽ bàng
招捘𠓀拯𡨹𢭩,Gieo thoi trước chẳng giữ ràng
底𡢐𢧚𢢆共払𪽝埃,Để sau nên thẹn cùng chàng bởi ai
倍咦柳押花奈,Vội gì liễu ép hoa nài
群身群𱥺𡊰培固欺,"Còn thân còn một đền bồi có khi""."
𧡊𠳒端正易𦖑,Thấy lời đoan chính dễ nghe
払強添𢘝添為𨑮分,Chàng càng thêm nể thêm vì mười phân
𩃳艚皮𤁕𨤔銀,Bóng tàu vừa nhạt vẻ ngân
信兜㐌𢫈𲈾垠噲𠓨,Tin đâu đã gõ cửa ngăn gọi vào
娘時倍阻𢩣絩,Nàng thì vội trở buồng thêu
生時𨄹𨃴𡑝桃𨀈𫥨,Sinh thì dạo gót sân đào bước ra
𲈾外皮吘杄花,Cửa ngoài vừa ngỏ then hoa
家童𠓨𢭮書茄買𨖅,Gia đồng vào gửi thư nhà mới sang
𨷑䀡手筆嚴堂,MỞ xem thủ bút nghiêm đường
𠴍浪叔父賒塘命終,Nhắn rằng thúc phụ xa đường mệnh chung
唉群寄葬遼東,Hãy còn ký táng liêu đông
故鄕𣾺演𠦳重山溪,CỐ hương khơi diễn ngàn trùng sơn khê
𣈙迻灵櫬𧗱圭,Rày đưa linh sấn về quê
世芇𡥵拱沛𧗱護喪,Thế nào con cũng phải về hộ tang
𠻵信挈餒驚惶,Mảng tin xiết nỗi kinh hoàng
冰命𨇍𠓀臺粧敘情,Băng mình lẻn trước đài trang tự tình
𨃴頭每餒丁寧,Gót đầu mọi nỗi đinh ninh
餒茄喪𩯀餒命賒吹,Nỗi nhà tang tóc nỗi mình xa xôi
事兜渚及堆回,"""Sự đâu chưa kịp đôi hồi"
緣兜渚及𱥺𠳒𢭂絲,Duyên đâu chưa kịp một lời trao tơ
𦝄誓群妬猪猪,Trăng thề còn đó trơ trơ
監賒吹𩈘麻䜹撻𢚸,Dám xa xôi mặt mà thưa thớt lòng
外𠦳𨤵祝𠀧冬,Ngoài nghìn dặm chốc ba đông
䋦愁欺𫽻朱双群迡,Mối sầu khi gỡ cho xong còn chầy
𢷹鐄𡨹玉朱𫨩,Gìn vàng giữ ngọc cho hay
朱仃𢚸几蹎𩄲𡳜𡗶,"Cho đành lòng kẻ chân mây cuối trời""."
𦖻𦖑𦛌𱹻排排,Tai nghe ruột rối bời bời
及凝娘買𤋵𠳒𠓀𡢐,Ngập ngừng nàng mới giãi lời trước sau
翁絲㨴掛之𠑬,“Ông tơ gàn quải chi nhau
渚𢝙森合㐌愁𢺺配,Chưa vui sum họp đã sầu chia phôi
共𠑬卒㐌𥘀𠳒,Cùng nhau trót đã nặng lời
唒𠊝𠃅𩯀監移𢚸絲,Dẫu thay mái tóc dám dời lòng tơ
管包𣎃待𫷜除,Quản bao tháng đợi năm chờ
𢪀𠊛咹𫗄𦣰湄㤕󰠐,Nghĩ người ăn gió nằm mưa xót thầm
㐌願𠄩𡨸同心,Đã nguyền hai chữ đồng tâm
𤾓𢆥誓拯揞琴船埃,Trăm năm thề chẳng ôm cầm thuyền ai
群𡽫群渃群𨱽,Còn non còn nước còn dài
群𧗱群𢖵旦𠊛𣋚𫢩,"Còn về còn nhớ đến người hôm nay""."
用浪渚𡝖移𢬣,Dùng dằng chưa nỡ rời tay
暈東𬂙㐌𥪸𬆄蓐茹,Vầng đông trông đã đứng ngay nóc nhà
𪿒顒𱥺𨀈𱥺賒,Ngại ngùng một bước một xa
𱥺𠳒珍重珠沙𱥯行,Một lời trân trọng châu sa mấy hàng
𢯜鞍掛挭倍鐄,Buộc yên quảy gánh vội vàng
䋦愁仕姅𨀈塘𢺹𠄩,Mối sầu xẻ nửa bước đường chia hai
𢞂𬂙風景圭𠊛,Buồn trông phong cảnh quê người
頭梗鵑日𡳜𡗶雁踈,Đầu cành quyên nhặt cuối trời nhạn thưa
𱞐𠊛昛𫗄旬湄,Não người cữ gió tuần mưa
𱥺𣈗𥘀挭相思𱥺𣈗,Một ngày nặng gánh tương tư một ngày
娘群𥪸𢭸軒西,Nàng còn đứng tựa hiên tây
𠃩回问𥿀如圍䋦絲,Chín hồi vấn vít như vầy mối tơ
𬂙澄𤌋屹窻踈,Trông chừng khói ngút song thưa
花㵢淖𧺀柳疏壳鐄,Hoa trôi trát thắm liễu xơ xác vàng
秦垠𨄹𨃴樓粧,Tần ngần dạo gót lầu trang
𱥺團𢜠壽外鄕買𧗱,Một đoàn mừng thọ ngoại hương mới về
寒暄渚及吔𠽮,Hàn huyên chưa kịp giã giề
差衙俸𧡊𦊚皮哰嗃,Sai nha bỗng thấy bốn bề lao xao
𠊛腋𡱩几𢬣刀,Người nách thước kẻ tay đao
頭𬌥𩈘馭𠯻𠯻如炊,Đầu trâu mặt ngựa ào ào như sôi
枷扛𱥺老𱥺𱰺,Già giang một lão một trai
𱥺𦀊無類𫃚𠄩深情,Một dây vô lại buộc hai thâm tình
𣹓茄㘇㗂𧋆撑,Đầy nhà vang tiếng ruồi xanh
用淶穹𦄅散晴襘𦁼,Rụng rời khung dệt tan tành gói may
圖細軟𧵑𥢅西,"Đồ tế nhuyễn, của riêng tây"
瀝𥑥生𢪏朱𣹓襊貪,Sạch sành sanh vét cho đầy túi tham
條兜𢒎𫃚埃爫,Điều đâu bay buộc ai làm
尼埃單𦂼迭緘俸仍,"Này ai đan giậm, giật giàm bỗng dưng"
𠳨𫥨𡢐買別浪,Hỏi ra sau mới biết rằng
沛𠸜稱出在绳半絲,Phải tên xưng xuất tại thằng bán tơ
𱥺茄恍惚謹魚,Một nhà hoảng hốt ngẩn ngơ
㗂冤𧻭坦案𪟽𤍶𩄲,Tiếng oan dậy đất án ngờ loà mây
下詞𠹚𠳿𠁸𣈜,Hạ từ van vỉ suốt ngày
𦖡𦖻憐恤𢰺𢬣摧殘,Điếc tai lân tuất phũ tay tồi tàn
樑高捽虐𦀊冤,Rường cao rút ngược dây oan
唒麻跢拱󰞺肝路𠊛,Dẫu mà đá cũng nát gan lọ người
𩈘𬂙𤴬疸用移,Mặt trông đau đớn rụng rời
冤尼群𱥺呌𡗶仍賒,Oan này còn một kêu trời nhưng xa
𱥺𣈗𨓐𩘬差衙,Một ngày lạ thói sai nha
爫朱酷害拯戈爲錢,Làm cho khốc hại chẳng qua vì tiền
牢朱骨肉院全,Sao cho cốt nhục vẹn tuyền
𥪞欺遇变從權別牢,Trong khi ngộ biến tòng quyền biết sao
緣會遇德劬劳,"Duyên hội ngộ, đức cù lao"
边情边孝边芇𱴸欣,Bên tình bên hiếu bên nào nặng hơn
底𠳒誓海盟山,Để lời thệ hải minh sơn
爫𡥵𠓀沛𡊰恩生成,Làm con trước phải đền ơn sinh thành
決情娘買下情,Quyết tình nàng mới hạ tình
唉朱底妾半命贖吒,Hãy cho để thiếp bán mình chuộc cha
户終固几吏𦓅,Họ Chung có kẻ lại già
拱𥪞衙𭛣吏羅慈心,Cũng trong nha dịch lại là từ tâm
𧡊娘孝重情深,Thấy nàng hiếu trọng tình thâm
爲娘𢪀拱傷󰠐㤕𧹋,Vì nàng nghỉ cũng thương thầm xót vay
併排律妬論低,Tính bài lót đó luồn đây
固𠀧𤾓兩𭛣尼買吹,Có ba trăm lạng việc này mới xuôi
唉𧗱暫付監外,Hãy về tạm phó giam ngoài
吲娘規料𥪞堆𠀧𣈗,Dặn nàng quy liệu trong đôi ba ngày
傷情𡥵𥘷踈𬏝,Thương tình con trẻ thơ ngây
﨤干禍𢭮灾𢒎不期,Gặp cơn vạ gửi tai bay bất kỳ
𤴬𢚸死別生離,Đau lòng tử biệt sinh ly
身群拯惜惜咦典緣,Thân còn chẳng tiếc tiếc gì đến duyên
曷湄詫𢪀分𠍦,Hạt mưa sá nghĩ phận hèn
料󰝂𡬷𦹵決𡊰𠀧春,Liều đem tấc cỏ quyết đền ba xuân
事𢚸吘貝氷人,Sự lòng ngỏ với băng nhân
𱓞霜吨代賒𧵆𠮿嗃,Tin sương đồn đại xa gần xôn xao
𧵆沔固𱥺媒芇,Gần miền có một mụ nào
迻𠊛遠客尋𠓨问名,Đưa người viễn khách tìm vào vấn danh
𠳨𠸜浪馬監生,Hỏi tên rằng Mã Giám Sinh
𠳨圭浪縣臨清拱𧵆,Hỏi quê rằng huyện Lâm Thanh cũng gần
過年擢外四旬,Quá niên trạc ngoại tứ tuần
眉𩭶忍隊襖裙秉包,Mày râu nhẵn nhụi áo quần bảnh bao
𠓀柴𡢐伵劳嗃,Trước thầy sau tớ lao xao
茄氷迻䋦逴𠓨楼粧,Nhà băng đưa mối rước vào lầu trang
槣𨕭𡓮卒𠴗床,Ghế trên ngồi tót sỗ sàng
𢩣𥪞䋦㐌𠽖娘急𫥨,Buồng trong mối đã giục nàng kíp ra
餒命當即餒茄,Nỗi mình đương tức nỗi nhà
㙴花𱥺𨀈淚花𱥯行,Thềm hoa một bước lệ hoa mấy hàng
𪿒顒喕𫗄𠲖霜,Ngại ngùng giợn gió e sương
𥆾花𩃳𢢆𬂙𦎛𩈘𠫅,Nhìn hoa bóng thẹn trông gương mặt dày
䋦強援𩯀扒𢬣,Mối càng vén tóc bắt tay
󰞺𢞂如菊調𤷍如梅,Nét buồn như cúc điệu gầy như mai
坦𢵋斤色斤才,Đắn đo cân sắc cân tài
押宮琴月此排𦑗詩,Ép cung cầm nguyệt thử bài quạt thơ
𪉽濃𱥺𨤔𱥺於,Mặn nồng một vẻ một ưa
平𢚸客買隨機逸迢,Bằng lòng khách mới tuỳ cơ dặt dìu
浪謨玉旦藍橋,"Rằng: ""Mua ngọc đến Lam Kiều"
聘𱎹𠳐𠰺包饒朱詳,Sính nghi vâng dạy bao nhiêu cho tường”.
䋦浪當價𠦳鐄,"Mối rằng: ""Đáng giá nghìn vàng"
歹茄𢘾量𠊛傷監奈,Ngặt nhà nhờ lượng người thương dám nài”.
𪂲掑扒𱥺添𠄩,Cò kè bớt một thêm hai
除𥹰我價𠹾外𦊚𤾓,Giờ lâu ngã giá chịu ngoài bốn trăm
𱥺𠳒船㐌淹𢴏,Một lời thuyền đã êm giầm
唉迻更帖𠓀扲爫𥱬,Hãy đưa canh thiếp trước cầm làm ghi
定𣈗納采于歸,Định ngày nạp thái vu quy
錢𦝄㐌産𭛣咦拯双,Tiền lưng đã sẵn việc gì chẳng xong
𱥺𠳒𢚁貝終公,Một lời cậy với Chung công
乞詞暫領王翁𧗱茄,Khất từ tạm lĩnh Vương ông về nhà
傷情𡥵𥘷吒𦓅,Thương tình con trẻ cha già
𥆾娘翁仍𧖱沙𦛌油,Nhìn nàng ông những máu sa ruột dàu
餒𡥵仍約𧗱𡢐,"""Nuôi con những ước về sau"
𢭂絲沛侶招毬當坭,Trao tơ phải lứa gieo cầu đáng nơi
𡗶爫之極𱥯𡗶,Trời làm chi cực mấy trời
尼埃誣託朱𠊛合散,Này ai vu thác cho người hợp tan
斧斤包管身殘,Búa rìu bao quản thân tàn
女苔墮𥘷強冤酷𦓅,Nỡ đày đoạ trẻ càng oan khốc già
𱥺吝𡢐𠓀拱𱺵,Một lần sau trước cũng là
催時𩈘屈庄他𢚸𤴬,"Thôi thì mặt khuất chẳng thà lòng đau""."
蹺𠳒強沚𣳔珠,Theo lời càng chảy dòng châu
料命翁拉招頭墻𪿙,Liều mình ông rắp gieo đầu tường vôi
倍傍几𡨹𠊛𥋳,Vội vàng kẻ giữ người coi
𡮈蘇娘吏尋𠳒𡅳干,Nhỏ to nàng lại tìm lời khuyên can
𨤔咦𱥺𤗖紅顔,"""Vẻ gì một mảnh hồng nhan"
𩯀絲渚𡭧𡊰恩生成,Tóc tơ chưa chút đền ơn sinh thành
𤼸書㐌𢢆娘萦,Dâng thư đã thẹn nàng Oanh
吏偷妸李半命𫨩牢,Lại thua ả Lý bán mình hay sao
𣑳椿歲鶴強高,Chồi xuân tuổi hạc càng cao
𱥺𣘃挭搏別包饒梗,Một cây gánh vác biết bao nhiêu cành
量𨕭油拯𢴑情,Lượng trên dù chẳng dứt tình
𫗄湄歐罕散晴渃𡽫,Gió mưa âu hẳn tan tành nước non
